age,IndividualID,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
48,0034V00002Ze2tVQAR, Private,242406,11th,7, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,40, Puerto-Rico,<=50K
21,0034V00002Ze2tWQAR, Private,197200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,<=50K
19,0034V00002Ze2tXQAR, Private,544091, HS-grad,9, Married-AF-spouse, Adm-clerical, Wife, White, Female,0,0,25, United-States,<=50K
31,0034V00002Ze2tYQAR, Private,84154, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,38, ?,>50K
48,0034V00002Ze2tZQAR, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
31,0034V00002Ze2taQAB, Private,507875,9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,43, United-States,<=50K
53,0034V00002Ze2tbQAB, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
24,0034V00002Ze2tcQAB, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,50, United-States,<=50K
49,0034V00002Ze2tdQAB, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States,<=50K
25,0034V00002Ze2teQAB, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,35, United-States,<=50K
57,0034V00002Ze2tfQAB, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,0,0,40, United-States,>50K
53,0034V00002Ze2tgQAB, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,38, United-States,<=50K
44,0034V00002Ze2svQAB, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, United-States,<=50K
41,0034V00002Ze2swQAB, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
29,0034V00002Ze2sxQAB, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,43, United-States,<=50K
25,0034V00002Ze2syQAB, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,0,0,40, United-States,<=50K
18,0034V00002Ze2szQAB, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, ?,<=50K
47,0034V00002Ze2t0QAB, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,1902,60, Honduras,>50K
50,0034V00002Ze2t1QAB, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States,>50K
47,0034V00002Ze2t2QAB, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,60, United-States,<=50K
43,0034V00002Ze2t3QAB, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States,>50K
46,0034V00002Ze2t4QAB, Private,216666,5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,<=50K
35,0034V00002Ze2t5QAB, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Puerto-Rico,<=50K
41,0034V00002Ze2t6QAB, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,48, United-States,<=50K
30,0034V00002Ze2siQAB, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,5013,0,40, United-States,<=50K
30,0034V00002Ze2t8QAB, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,2407,0,40, United-States,<=50K
32,0034V00002Ze2t9QAB, ?,293936,7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,0,0,40, ?,<=50K
48,0034V00002Ze2tAQAR, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States,<=50K
42,0034V00002Ze2thQAB, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States,>50K
29,0034V00002Ze2tiQAB, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,0,0,58, United-States,<=50K
36,0034V00002ZUolWQAT, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
28,0034V00002ZUolXQAT, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
53,0034V00002ZUolYQAT, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, United-States,>50K
49,0034V00002ZUolZQAT, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States,>50K
25,0034V00002ZUolaQAD, ?,200681, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,40, United-States,<=50K
19,0034V00002ZUolbQAD, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,0,0,32, United-States,<=50K
31,0034V00002ZUolcQAD, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,0,0,40, United-States,<=50K
29,0034V00002ZUoldQAD, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States,>50K
23,0034V00002ZUoleQAD, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,<=50K
79,0034V00002ZUolfQAD, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,0,0,20, United-States,<=50K
27,0034V00002ZUolgQAD, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Mexico,<=50K
40,0034V00002ZUolhQAD, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,<=50K
67,0034V00002ZUoliQAD, ?,212759,10th,6, Married-civ-spouse, ?, Husband, White, Male,0,0,2, United-States,<=50K
18,0034V00002ZUoljQAD, Private,309634,11th,7, Never-married, Other-service, Own-child, White, Female,0,0,22, United-States,<=50K
31,0034V00002ZUolkQAD, Local-gov,125927,7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,<=50K
18,0034V00002ZUollQAD, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,0,0,30, United-States,<=50K
52,0034V00002ZUolmQAD, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,0,0,40, Cuba,<=50K
46,0034V00002ZUolnQAD, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,<=50K
59,0034V00002ZUoloQAD, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,<=50K
44,0034V00002ZUolpQAD, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,14344,0,40, United-States,>50K
53,0034V00002ZUolqQAD, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,0,0,35, United-States,<=50K
49,0034V00002ZUolrQAD, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,>50K
33,0034V00002ZUolsQAD, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,<=50K
30,0034V00002ZUoltQAD, Private,54334,9th,5, Never-married, Sales, Not-in-family, White, Male,0,0,40, United-States,<=50K
43,0034V00002ZUoluQAD, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,>50K
57,0034V00002ZUolvQAD, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,<=50K
37,0034V00002ZUolwQAD, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States,<=50K
28,0034V00002ZUolxQAD, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,0,0,25, United-States,<=50K
30,0034V00002ZUolyQAD, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,0,1573,35, ?,<=50K
34,0034V00002ZUolzQAD, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,>50K
29,0034V00002ZUom0QAD, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,50, United-States,<=50K
48,0034V00002ZUom1QAD, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,60, United-States,>50K
37,0034V00002ZUom2QAD, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,48, United-States,>50K
48,0034V00002ZUom3QAD, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,0,0,40, England,<=50K
32,0034V00002ZUom4QAD, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,0,0,40, United-States,<=50K
76,0034V00002Ze2shQAB, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>50K
44,0034V00002Ze2siQAB, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,60, United-States,>50K
47,0034V00002Ze2sjQAB, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States,<=50K
20,0034V00002Ze2skQAB, Private,188300, Some-college,10, Never-married, Tech-support, Own-child, White, Female,0,0,40, United-States,<=50K
29,0034V00002Ze2slQAB, Private,103432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
32,0034V00002Ze2smQAB, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,7688,0,40, United-States,>50K
17,0034V00002Ze2snQAB, ?,304873,10th,6, Never-married, ?, Own-child, White, Female,34095,0,32, United-States,<=50K
30,0034V00002Ze2soQAB, Private,194901,11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,40, United-States,<=50K
31,0034V00002Ze2spQAB, Local-gov,189265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
42,0034V00002Ze2sqQAB, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States,<=50K
24,0034V00002Ze2srQAB, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,0,0,40, United-States,<=50K
38,0034V00002Ze2ssQAB, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
56,0034V00002Ze2stQAB, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,0,1887,50, Canada,>50K
28,0034V00002Ze2suQAB, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,4064,0,25, United-States,<=50K
36,0034V00002Ze2tBQAR, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States,<=50K
53,0034V00002Ze2tCQAR, Private,95647,9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,50, United-States,<=50K
56,0034V00002Ze2tDQAR, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=50K
49,0034V00002Ze2tEQAR, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,>50K
55,0034V00002Ze2tFQAR, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,56, United-States,<=50K
22,0034V00002Ze2tGQAR, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,41, United-States,<=50K
21,0034V00002Ze2tHQAR, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, United-States,<=50K
40,0034V00002Ze2tIQAR, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States,<=50K
30,0034V00002Ze2tJQAR, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,0,0,40, Germany,<=50K
29,0034V00002Ze2tKQAR, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,>50K
19,0034V00002Ze2tLQAR, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, Male,0,0,35, United-States,<=50K
47,0034V00002Ze2tMQAR, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States,>50K
20,0034V00002Ze2tNQAR, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,1719,28, United-States,<=50K
31,0034V00002Ze2tOQAR, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States,>50K
35,0034V00002Ze2tPQAR, ?,129305, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,<=50K
39,0034V00002Ze2tQQAR, Private,365739, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States,<=50K
28,0034V00002Ze2tRQAR, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,0,0,60, United-States,<=50K
24,0034V00002Ze2tSQAR, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1762,40, United-States,<=50K
38,0034V00002Ze2tTQAR, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,4386,0,35, United-States,<=50K
37,0034V00002Ze2tUQAR, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States,<=50K
46,0034V00002Ze2tVQAR, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,0,0,36, United-States,<=50K
38,0034V00002Ze2tWQAR, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, Iran,>50K
43,0034V00002Ze2tXQAR, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,<=50K
27,0034V00002Ze2tYQAR, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States,<=50K
20,0034V00002Ze2tZQAR, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States,<=50K
49,0034V00002Ze2taQAB, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,0,0,40, United-States,>50K
61,0034V00002Ze2tbQAB, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,<=50K
27,0034V00002Ze2tcQAB, Private,232782, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,40, United-States,<=50K
19,0034V00002Ze2tdQAB, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,30, Mexico,<=50K
45,0034V00002Ze2teQAB, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,0,1564,40, United-States,>50K
70,0034V00002Ze2tfQAB, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,0,0,40, United-States,<=50K
31,0034V00002Ze2tgQAB, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,0,0,30, United-States,<=50K
22,0034V00002Ze2svQAB, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,0,0,24, United-States,<=50K
36,0034V00002Ze2swQAB, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,0,0,24, United-States,<=50K
64,0034V00002Ze2sxQAB, Private,181232,11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2179,40, United-States,<=50K
43,0034V00002Ze2syQAB, ?,174662, Some-college,10, Divorced, ?, Not-in-family, White, Female,0,0,40, United-States,<=50K
47,0034V00002Ze2szQAB, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,38, Mexico,<=50K
34,0034V00002Ze2t0QAB, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
33,0034V00002Ze2t1QAB, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,0,0,40, Philippines,<=50K
21,0034V00002Ze2t2QAB, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,35, United-States,<=50K
52,0034V00002Ze2t3QAB, ?,252903, HS-grad,9, Divorced, ?, Not-in-family, White, Male,0,0,45, United-States,>50K
48,0034V00002Ze2t4QAB, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,46, United-States,<=50K
23,0034V00002Ze2t5QAB, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,<=50K
71,0034V00002Ze2t6QAB, Self-emp-not-inc,494223, Some-college,10, Separated, Sales, Unmarried, Black, Male,0,1816,2, United-States,<=50K
29,0034V00002Ze2siQAB, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,60, United-States,<=50K
42,0034V00002Ze2t8QAB, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,0,0,50, United-States,<=50K
68,0034V00002Ze2t9QAB, ?,38317,1st-4th,2, Divorced, ?, Not-in-family, White, Female,0,0,20, United-States,<=50K
25,0034V00002Ze2tAQAR, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,0,0,40, United-States,<=50K
44,0034V00002Ze2thQAB, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,0,0,40, United-States,<=50K
28,0034V00002Ze2tiQAB, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,0,0,40, England,<=50K
45,0034V00002ZUolWQAT, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,>50K
36,0034V00002ZUolXQAT, Private,207157, Some-college,10, Divorced, Other-service, Unmarried, White, Female,0,0,40, Mexico,<=50K
39,0034V00002ZUolYQAT, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,42, United-States,<=50K
46,0034V00002ZUolZQAT, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,0,0,40, United-States,<=50K
18,0034V00002ZUolaQAD, Private,25828,11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,16, United-States,<=50K
66,0034V00002ZUolbQAD, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,0,0,20, United-States,<=50K
27,0034V00002ZUolcQAD, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,1980,40, United-States,<=50K
28,0034V00002ZUoldQAD, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States,<=50K
51,0034V00002ZUoleQAD, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,1977,40, United-States,>50K
27,0034V00002ZUolfQAD, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,0,0,50, United-States,<=50K
28,0034V00002ZUolgQAD, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,>50K
27,0034V00002ZUolhQAD, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,0,0,25, United-States,<=50K
21,0034V00002ZUoliQAD, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,0,0,40, United-States,<=50K
34,0034V00002ZUoljQAD, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,0,0,40, United-States,<=50K
18,0034V00002ZUolkQAD, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,12, United-States,<=50K
33,0034V00002ZUollQAD, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,65, United-States,<=50K
44,0034V00002ZUolmQAD, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,38, United-States,>50K
43,0034V00002ZUolnQAD, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States,<=50K
30,0034V00002ZUoloQAD, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,0,0,45, United-States,<=50K
40,0034V00002ZUolpQAD, Private,286370,7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, Mexico,>50K
37,0034V00002ZUolqQAD, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,42, United-States,>50K
34,0034V00002ZUolrQAD, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,0,0,40, United-States,<=50K
41,0034V00002ZUolsQAD, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,<=50K
53,0034V00002ZUoltQAD, ?,135105, Bachelors,13, Divorced, ?, Not-in-family, White, Female,0,0,50, United-States,<=50K
31,0034V00002ZUoluQAD, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States,<=50K
58,0034V00002ZUolvQAD, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,1, United-States,>50K
38,0034V00002ZUolwQAD, Private,155222, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,0,0,28, United-States,<=50K
24,0034V00002ZUolxQAD, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States,<=50K
41,0034V00002ZUolyQAD, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States,<=50K
47,0034V00002ZUolzQAD, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,45, United-States,<=50K
41,0034V00002ZUom0QAD, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,24, United-States,<=50K
